Open,High,Low,Close,VWAP,Volume,Turnover,upB,midB,lowB,RSI,K,MACD,EMA,ADX,AroonUp,AroonDown,diff
715.0,718.0,708.25,715.75,713.56,4185425,298656015440000.0,724.9632115130175,707.4824999999998,690.0017884869822,45.808810572355135,48.69380038695795,5.159624338292083,720.9677508109361,52.06242842507025,35.714285714285715,7.142857142857143,9.75
717.0,733.9,717.0,732.2,726.13,6130529,445156285335000.06,729.046505534789,709.2624999999999,689.4784944652108,56.47877318196738,50.19814393604666,6.225043173626961,721.6924120489402,50.056680093625765,28.571428571428573,100.0,16.899999999999977
733.3,740.0,729.0,732.5,735.02,5395169,396554830135000.0,731.6263875678109,709.8699999999999,688.1136124321889,56.65172251913864,53.090720795431785,6.707357218758503,722.3896757877183,47.78174021285646,21.42857142857143,100.0,11.0
733.0,733.0,711.65,719.9,722.28,7028288,507637084805000.0,731.5318281758388,709.8374999999999,688.143171824161,47.789252289909065,55.04915655651713,5.96037349166728,722.2290515433493,46.39870810382752,14.285714285714286,92.85714285714286,21.350000000000023
724.0,728.7,711.5,726.75,722.61,4618646,333745940300000.0,733.107899727358,710.3499999999999,687.5921002726418,52.297050051501046,58.648913472747516,5.709716522115022,722.5207256373268,45.12040046191022,7.142857142857143,85.71428571428572,17.200000000000045
731.0,737.9,727.15,731.45,732.61,3455455,253150154980000.03,735.2004322078542,710.9424999999999,686.6845677921456,55.243031138084696,61.21184145322491,5.633065825157125,723.0968078542735,43.27961819495879,0.0,78.57142857142857,10.75
731.5,741.25,731.0,735.35,736.52,3966001,292105605690000.0,738.2762378994123,711.87,685.4637621005877,57.65415625936685,64.95082118888239,5.605604017471791,723.8873363798042,41.338676990844306,0.0,100.0,10.25
734.0,746.5,729.15,742.5,739.03,3737688,276224782950000.0,742.8794944204209,713.285,683.690505579579,61.84159285600989,67.96255419622617,5.805043547927175,725.0881533875588,39.17272598827508,7.142857142857143,100.0,17.350000000000023
745.0,770.0,742.5,768.5,760.85,8821809,671203288945000.0,754.2325431206165,716.62,679.0074568793835,72.7350719877477,72.01566118617231,7.3259775860526855,727.8889176851357,36.97150647289011,0.0,100.0,27.5
770.0,781.95,763.1,775.05,773.59,6390433,494359032480000.0,764.7927839648712,720.52,676.2472160351288,74.75259526015105,75.20626898090437,8.337517958414923,730.9315681570624,35.498466090407724,14.285714285714286,100.0,18.850000000000023
776.7,780.0,770.5,778.05,775.22,2482378,192438125700000.0,773.7559797819988,724.765,675.7740202180012,75.66884602481122,79.78475837829728,8.731198035375144,733.971466985639,34.13064287810265,7.142857142857143,92.85714285714286,9.5
780.0,795.0,774.5,780.45,785.31,4370763,343241826965000.0,782.1230023952943,728.6850000000001,675.2469976047058,76.42920608456392,81.79798978645381,8.658787124207675,736.9700820188236,33.533718500199335,0.0,100.0,20.5
782.95,786.5,758.6,772.5,775.68,5109676,396345061325000.0,787.1244238692748,732.4225,677.7205761307252,68.54519896252138,83.22487354625837,7.617787363120133,739.2623347918028,31.95565387590533,0.0,92.85714285714286,27.899999999999977
781.5,784.45,768.65,777.35,777.46,3868446,300756332605000.0,792.4838492922466,736.0925,679.7011507077533,70.6008727501377,84.03468404562862,6.823769421779187,741.7196035149123,30.49030815334661,0.0,85.71428571428572,15.800000000000068
